verb, og_spell, first_infinitive, eng
pudottaneen, pudottaneen, pudottaa, drop
unohtaneen, unohtaneen, unohtaa, forget
hukanneen, hukanneen, hukata, lose
tuoneen, tuoneen, tuoda, bring
n\u00e4hneen, nähneen, nähdä, see
l\u00f6yt\u00e4neen, löytäneen, löytää, find
